grid_id,fit_eligible,qa_score,center_lon,center_lat,archived_uwg_treecover,corrected_uwg_treecover,delta_uwg_treecover,archived_uwg_grasscover,corrected_uwg_grasscover,delta_uwg_grasscover,canopy_area_delta_m2,archived_k4,corrected_fixed_k4,archived_k7,corrected_fixed_k7,archived_k8,corrected_fixed_k8
1,False,1,7.64254016774982,45.007055246039215,0.0046424702889098,0.004642470288909867,6.678685382510707e-17,0.1028238154426194,0.10282381544261944,4.163336342344337e-17,0.0,1.0,1,0.0,0,0.0,0
2,False,1,7.643808732413723,45.00707032376236,0.0067236341028803,0.006723634102880389,8.933825901280557e-17,0.0699545809840158,0.06995458098401582,1.3877787807814457e-17,0.0,1.0,1,0.0,0,0.0,0
3,False,1,7.645077298076416,45.00708538739862,0.0069166181402604,0.006916618140260439,3.903127820947816e-17,0.0421757448623316,0.04217574486233156,-4.163336342344337e-17,-2.2737367544323206e-13,1.0,1,0.0,0,0.0,0
4,False,1,7.641250319661128,45.00794007510436,0.0119431568093652,0.011943156809365293,9.367506770274758e-17,0.2198823670021669,0.2198823670021669,0.0,0.0,1.0,1,0.0,0,0.0,0
5,False,1,7.64251890317748,45.007955167385184,0.016883644240091,0.01688364424009107,6.938893903907228e-17,0.2029469187861424,0.20294691878614235,-5.551115123125783e-17,-9.094947017729282e-13,1.0,1,0.0,0,0.0,0
6,False,1,7.643787487693615,45.00797024557877,0.0210172077394508,0.021017207739450882,8.326672684688674e-17,0.1669737918889524,0.16697379188895234,-5.551115123125783e-17,0.0,1.0,1,0.0,0,0.0,0
7,False,1,7.645056073208596,45.00798530968501,0.0217739686168115,0.02177396861681155,5.204170427930421e-17,0.1402636266757837,0.14026362667578365,-5.551115123125783e-17,0.0,1.0,1,0.0,0,0.0,0
8,False,1,7.646324659721488,45.00800035970388,0.0178352585068975,0.017835258506897565,6.591949208711867e-17,0.1832687086714273,0.18326870867142733,2.7755575615628914e-17,-9.094947017729282e-13,1.0,1,0.0,0,0.0,0
9,False,1,7.647593247231368,45.0080153956354,0.0183633744870512,0.018363374487051217,1.734723475976807e-17,0.1934113678074223,0.19341136780742238,8.326672684688674e-17,0.0,1.0,1,0.0,0,0.0,0
10,False,1,7.648861835737299,45.008030417479475,0.0211536788897774,0.021153678889777407,6.938893903907228e-18,0.1932352138677037,0.1932352138677037,0.0,-1.8189894035458565e-12,1.0,1,0.0,0,0.0,0
11,False,1,7.652667607222059,45.00807539848706,0.0198145956271539,0.01981459562715398,7.979727989493313e-17,0.0810511938183379,0.08105119381833792,1.3877787807814457e-17,0.0,1.0,1,0.0,0,0.0,0
12,False,1,7.65393619970286,45.00809036398122,0.015662058231862,0.015662058231862067,6.591949208711867e-17,0.0603072893941988,0.06030728939419874,-5.551115123125783e-17,-9.094947017729282e-13,1.0,1,0.0,0,0.0,0
13,False,1,7.6552047931750495,45.00810531538784,0.00696475815997,0.006964758159969999,-8.673617379884035e-19,0.0360254665512518,0.0360254665512518,0.0,-4.547473508864641e-13,1.0,1,0.0,0,0.0,0
14,False,1,7.622200104308975,45.00861191404602,0.0136418230976272,0.013641823097627289,8.847089727481716e-17,0.2408775883644706,0.2408775883644706,0.0,9.094947017729282e-13,0.0,0,0.0,0,0.0,0
15,False,1,7.623468692568922,45.00862721811012,0.0136418230976272,0.013641823097627289,8.847089727481716e-17,0.305397498333294,0.305397498333294,0.0,9.094947017729282e-13,0.0,0,1.0,1,2.0,2
16,False,1,7.624737281842696,45.00864250808695,0.0067925062310599,0.006792506231059972,7.19910242530375e-17,0.3743155710201011,0.3743155710201011,0.0,-2.2737367544323206e-13,0.0,0,1.0,1,2.0,2
17,False,1,7.626005872129371,45.00865778397646,0.0,0.0,0.0,0.3686596880448943,0.3686596880448943,0.0,0.0,0.0,0,1.0,1,2.0,2
18,False,2,7.627274463428007,45.0086730457786,0.0,0.0,0.0,0.2930355812127698,0.2930355812127698,0.0,0.0,0.0,0,1.0,1,2.0,2
19,False,2,7.636154630775122,45.008779483945624,0.0086974881957205,0.008697488195720518,1.734723475976807e-17,0.1820349013098828,0.18203490130988279,-2.7755575615628914e-17,0.0,1.0,1,0.0,0,0.0,0
20,False,1,7.637423230135897,45.00879463304796,0.0110370814837067,0.011037081483706773,7.28583859910259e-17,0.2763442799192313,0.2763442799192313,0.0,0.0,0.0,0,0.0,0,2.0,2
21,False,1,7.639960431867218,45.00882488898976,0.0157254607221905,0.01572546072219056,6.245004513516506e-17,0.3870138573051835,0.38701385730518356,5.551115123125783e-17,4.547473508864641e-13,0.0,0,1.0,1,2.0,2
22,False,1,7.641229034235904,45.00883999582919,0.0163628002445198,0.016362800244519884,8.326672684688674e-17,0.3835648933385762,0.38356489333857624,5.551115123125783e-17,0.0,0.0,0,1.0,1,2.0,2
23,False,1,7.642497637605362,45.00885508858091,0.0192169542361503,0.019216954236150316,1.734723475976807e-17,0.3812773971499562,0.3812773971499562,0.0,0.0,0.0,0,1.0,1,2.0,2
24,False,1,7.643766241974655,45.00887016724487,0.0215835210435881,0.021583521043588152,5.204170427930421e-17,0.3529891620805544,0.35298916208055436,-5.551115123125783e-17,0.0,0.0,0,1.0,1,2.0,2
25,False,1,7.645034847342858,45.00888523182113,0.0217739686168115,0.021773968616811554,5.551115123125783e-17,0.3286181271864919,0.3286181271864919,0.0,9.094947017729282e-13,0.0,0,1.0,1,2.0,2
26,False,1,7.646303453709032,45.00890028230956,0.0178352585068975,0.017835258506897572,7.28583859910259e-17,0.3716427351601324,0.37164273516013246,5.551115123125783e-17,1.8189894035458565e-12,0.0,0,1.0,1,2.0,2
27,False,1,7.647572061072244,45.00891531871017,0.0228043164603066,0.022804316460306676,7.632783294297951e-17,0.3539842844832819,0.35398428448328184,-5.551115123125783e-17,9.094947017729282e-13,0.0,0,1.0,1,2.0,2
